# Constant m: 0.04262525050100201
# S_vals T_vals
1.000000 0.010000
1.000000 0.011483
1.000000 0.012966
1.000000 0.014449
1.000000 0.015932
1.000000 0.017415
1.000000 0.018898
1.000000 0.020381
1.000000 0.021864
1.000000 0.023347
1.000000 0.024830
1.000000 0.026313
1.000000 0.027796
1.000000 0.029279
1.000000 0.030762
1.000000 0.032244
1.000000 0.033727
1.000000 0.035210
1.000000 0.036693
1.000000 0.038176
1.000000 0.039659
1.000000 0.041142
1.000000 0.042625
1.000000 0.044108
1.000000 0.045591
1.000000 0.047074
1.000000 0.048557
1.000000 0.050040
1.000000 0.051523
1.000000 0.053006
1.000000 0.054489
1.000000 0.055972
1.000000 0.057455
1.000000 0.058938
1.000000 0.060421
1.000000 0.061904
1.000000 0.063387
1.000000 0.064870
1.000000 0.066353
1.000000 0.067836
1.000000 0.069319
1.000000 0.070802
1.000000 0.072285
1.000000 0.073768
1.000000 0.075251
1.000000 0.076733
1.000000 0.078216
1.000000 0.079699
1.000000 0.081182
1.000000 0.082665
1.000000 0.084148
1.000000 0.085631
1.000000 0.087114
1.000000 0.088597
1.000000 0.090080
1.000000 0.091563
1.000000 0.093046
0.999999 0.094529
0.999999 0.096012
0.999999 0.097495
0.999999 0.098978
0.999998 0.100461
0.999998 0.101944
0.999998 0.103427
0.999997 0.104910
0.999997 0.106393
0.999996 0.107876
0.999995 0.109359
0.999994 0.110842
0.999993 0.112325
0.999992 0.113808
0.999990 0.115291
0.999989 0.116774
0.999987 0.118257
0.999984 0.119739
0.999982 0.121222
0.999979 0.122705
0.999976 0.124188
0.999972 0.125671
0.999968 0.127154
0.999964 0.128637
0.999959 0.130120
0.999953 0.131603
0.999947 0.133086
0.999940 0.134569
0.999933 0.136052
0.999925 0.137535
0.999916 0.139018
0.999906 0.140501
0.999895 0.141984
0.999883 0.143467
0.999870 0.144950
0.999856 0.146433
0.999841 0.147916
0.999825 0.149399
0.999807 0.150882
0.999788 0.152365
0.999767 0.153848
0.999745 0.155331
0.999722 0.156814
0.999696 0.158297
0.999669 0.159780
0.999640 0.161263
0.999608 0.162745
0.999575 0.164228
0.999540 0.165711
0.999502 0.167194
0.999462 0.168677
0.999420 0.170160
0.999375 0.171643
0.999327 0.173126
0.999277 0.174609
0.999223 0.176092
0.999167 0.177575
0.999108 0.179058
0.999045 0.180541
0.998980 0.182024
0.998911 0.183507
0.998838 0.184990
0.998762 0.186473
0.998682 0.187956
0.998598 0.189439
0.998510 0.190922
0.998418 0.192405
0.998322 0.193888
0.998221 0.195371
0.998116 0.196854
0.998007 0.198337
0.997892 0.199820
0.997773 0.201303
0.997649 0.202786
0.997520 0.204269
0.997386 0.205752
0.997247 0.207234
0.997101 0.208717
0.996951 0.210200
0.996795 0.211683
0.996632 0.213166
0.996464 0.214649
0.996290 0.216132
0.996110 0.217615
0.995923 0.219098
0.995730 0.220581
0.995530 0.222064
0.995323 0.223547
0.995109 0.225030
0.994889 0.226513
0.994661 0.227996
0.994426 0.229479
0.994183 0.230962
0.993933 0.232445
0.993675 0.233928
0.993409 0.235411
0.993135 0.236894
0.992853 0.238377
0.992563 0.239860
0.992264 0.241343
0.991957 0.242826
0.991641 0.244309
0.991316 0.245792
0.990982 0.247275
0.990639 0.248758
0.990287 0.250240
0.989925 0.251723
0.989553 0.253206
0.989172 0.254689
0.988780 0.256172
0.988379 0.257655
0.987967 0.259138
0.987545 0.260621
0.987112 0.262104
0.986669 0.263587
0.986215 0.265070
0.985749 0.266553
0.985273 0.268036
0.984785 0.269519
0.984285 0.271002
0.983774 0.272485
0.983251 0.273968
0.982715 0.275451
0.982168 0.276934
0.981608 0.278417
0.981035 0.279900
0.980450 0.281383
0.979851 0.282866
0.979240 0.284349
0.978615 0.285832
0.977976 0.287315
0.977324 0.288798
0.976658 0.290281
0.975978 0.291764
0.975283 0.293246
0.974574 0.294729
0.973850 0.296212
0.973111 0.297695
0.972357 0.299178
0.971587 0.300661
0.970802 0.302144
0.970001 0.303627
0.969184 0.305110
0.968351 0.306593
0.967501 0.308076
0.966634 0.309559
0.965750 0.311042
0.964849 0.312525
0.963930 0.314008
0.962994 0.315491
0.962039 0.316974
0.961066 0.318457
0.960074 0.319940
0.959064 0.321423
0.958034 0.322906
0.956985 0.324389
0.955916 0.325872
0.954827 0.327355
0.953717 0.328838
0.952587 0.330321
0.951435 0.331804
0.950262 0.333287
0.949067 0.334770
0.947850 0.336253
0.946611 0.337735
0.945349 0.339218
0.944063 0.340701
0.942754 0.342184
0.941421 0.343667
0.940063 0.345150
0.938680 0.346633
0.937272 0.348116
0.935838 0.349599
0.934378 0.351082
0.932891 0.352565
0.931377 0.354048
0.929835 0.355531
0.928264 0.357014
0.926665 0.358497
0.925036 0.359980
0.923378 0.361463
0.921688 0.362946
0.919968 0.364429
0.918215 0.365912
0.916430 0.367395
0.914612 0.368878
0.912759 0.370361
0.910872 0.371844
0.908950 0.373327
0.906991 0.374810
0.904994 0.376293
0.902960 0.377776
0.900887 0.379259
0.898774 0.380741
0.896620 0.382224
0.894424 0.383707
0.892185 0.385190
0.889902 0.386673
0.887573 0.388156
0.885198 0.389639
0.882775 0.391122
0.880302 0.392605
0.877779 0.394088
0.875204 0.395571
0.872575 0.397054
0.869890 0.398537
0.867148 0.400020
0.864347 0.401503
0.861484 0.402986
0.858559 0.404469
0.855568 0.405952
0.852508 0.407435
0.849379 0.408918
0.846176 0.410401
0.842897 0.411884
0.839539 0.413367
0.836098 0.414850
0.832571 0.416333
0.828954 0.417816
0.825243 0.419299
0.821433 0.420782
0.817519 0.422265
0.813496 0.423747
0.809358 0.425230
0.805098 0.426713
0.800710 0.428196
0.796186 0.429679
0.791516 0.431162
0.786691 0.432645
0.781700 0.434128
0.776531 0.435611
0.771169 0.437094
0.765600 0.438577
0.759803 0.440060
0.753758 0.441543
0.747439 0.443026
0.740818 0.444509
0.733857 0.445992
0.726513 0.447475
0.718733 0.448958
0.710446 0.450441
0.701565 0.451924
0.691970 0.453407
0.681494 0.454890
0.669892 0.456373
0.656778 0.457856
0.641470 0.459339
0.622530 0.460822
0.595451 0.462305
0.000000 0.463788
0.000000 0.465271
-0.000000 0.466754
0.000000 0.468236
0.000000 0.469719
-0.000000 0.471202
0.000000 0.472685
0.000000 0.474168
-0.000000 0.475651
-0.000000 0.477134
-0.000000 0.478617
0.000000 0.480100
-0.000000 0.481583
0.000000 0.483066
-0.000000 0.484549
-0.000000 0.486032
-0.000000 0.487515
0.000000 0.488998
-0.000000 0.490481
-0.000000 0.491964
-0.000000 0.493447
-0.000000 0.494930
0.000000 0.496413
-0.000000 0.497896
0.000000 0.499379
0.000000 0.500862
-0.000000 0.502345
0.000000 0.503828
-0.000000 0.505311
0.000000 0.506794
-0.000000 0.508277
-0.000000 0.509760
0.000000 0.511242
0.000000 0.512725
-0.000000 0.514208
0.000000 0.515691
-0.000000 0.517174
0.000000 0.518657
-0.000000 0.520140
0.000000 0.521623
-0.000000 0.523106
-0.000000 0.524589
0.000000 0.526072
-0.000000 0.527555
-0.000000 0.529038
-0.000000 0.530521
-0.000000 0.532004
0.000000 0.533487
-0.000000 0.534970
0.000000 0.536453
-0.000000 0.537936
0.000000 0.539419
-0.000000 0.540902
0.000000 0.542385
-0.000000 0.543868
-0.000000 0.545351
0.000000 0.546834
-0.000000 0.548317
-0.000000 0.549800
-0.000000 0.551283
0.000000 0.552766
-0.000000 0.554248
0.000000 0.555731
-0.000000 0.557214
-0.000000 0.558697
-0.000000 0.560180
0.000000 0.561663
-0.000000 0.563146
0.000000 0.564629
-0.000000 0.566112
0.000000 0.567595
-0.000000 0.569078
-0.000000 0.570561
0.000000 0.572044
-0.000000 0.573527
0.000000 0.575010
-0.000000 0.576493
0.000000 0.577976
-0.000000 0.579459
0.000000 0.580942
-0.000000 0.582425
0.000000 0.583908
-0.000000 0.585391
-0.000000 0.586874
0.000000 0.588357
-0.000000 0.589840
-0.000000 0.591323
0.000000 0.592806
-0.000000 0.594289
0.000000 0.595772
-0.000000 0.597255
0.000000 0.598737
-0.000000 0.600220
0.000000 0.601703
-0.000000 0.603186
0.000000 0.604669
-0.000000 0.606152
-0.000000 0.607635
0.000000 0.609118
-0.000000 0.610601
-0.000000 0.612084
0.000000 0.613567
-0.000000 0.615050
-0.000000 0.616533
0.000000 0.618016
-0.000000 0.619499
0.000000 0.620982
-0.000000 0.622465
0.000000 0.623948
-0.000000 0.625431
-0.000000 0.626914
-0.000000 0.628397
-0.000000 0.629880
-0.000000 0.631363
-0.000000 0.632846
-0.000000 0.634329
-0.000000 0.635812
-0.000000 0.637295
-0.000000 0.638778
-0.000000 0.640261
-0.000000 0.641743
-0.000000 0.643226
-0.000000 0.644709
-0.000000 0.646192
-0.000000 0.647675
-0.000000 0.649158
-0.000000 0.650641
-0.000000 0.652124
-0.000000 0.653607
-0.000000 0.655090
-0.000000 0.656573
-0.000000 0.658056
-0.000000 0.659539
-0.000000 0.661022
-0.000000 0.662505
-0.000000 0.663988
0.000000 0.665471
-0.000000 0.666954
-0.000000 0.668437
0.000000 0.669920
-0.000000 0.671403
0.000000 0.672886
-0.000000 0.674369
-0.000000 0.675852
0.000000 0.677335
-0.000000 0.678818
-0.000000 0.680301
0.000000 0.681784
-0.000000 0.683267
-0.000000 0.684749
0.000000 0.686232
-0.000000 0.687715
-0.000000 0.689198
-0.000000 0.690681
0.000000 0.692164
-0.000000 0.693647
-0.000000 0.695130
0.000000 0.696613
-0.000000 0.698096
0.000000 0.699579
-0.000000 0.701062
-0.000000 0.702545
0.000000 0.704028
-0.000000 0.705511
0.000000 0.706994
-0.000000 0.708477
-0.000000 0.709960
0.000000 0.711443
-0.000000 0.712926
0.000000 0.714409
-0.000000 0.715892
-0.000000 0.717375
0.000000 0.718858
-0.000000 0.720341
0.000000 0.721824
-0.000000 0.723307
-0.000000 0.724790
0.000000 0.726273
-0.000000 0.727756
0.000000 0.729238
-0.000000 0.730721
0.000000 0.732204
-0.000000 0.733687
0.000000 0.735170
-0.000000 0.736653
0.000000 0.738136
-0.000000 0.739619
0.000000 0.741102
-0.000000 0.742585
0.000000 0.744068
-0.000000 0.745551
0.000000 0.747034
-0.000000 0.748517
0.000000 0.750000
