# Constant m: 0.13308617234468936
# S_vals T_vals
1.000000 0.010000
1.000000 0.011483
1.000000 0.012966
1.000000 0.014449
1.000000 0.015932
1.000000 0.017415
1.000000 0.018898
1.000000 0.020381
1.000000 0.021864
1.000000 0.023347
1.000000 0.024830
1.000000 0.026313
1.000000 0.027796
1.000000 0.029279
1.000000 0.030762
1.000000 0.032244
1.000000 0.033727
1.000000 0.035210
1.000000 0.036693
1.000000 0.038176
1.000000 0.039659
1.000000 0.041142
1.000000 0.042625
1.000000 0.044108
1.000000 0.045591
1.000000 0.047074
1.000000 0.048557
1.000000 0.050040
1.000000 0.051523
1.000000 0.053006
1.000000 0.054489
1.000000 0.055972
1.000000 0.057455
1.000000 0.058938
1.000000 0.060421
1.000000 0.061904
1.000000 0.063387
1.000000 0.064870
1.000000 0.066353
1.000000 0.067836
1.000000 0.069319
1.000000 0.070802
1.000000 0.072285
1.000000 0.073768
1.000000 0.075251
1.000000 0.076733
1.000000 0.078216
1.000000 0.079699
1.000000 0.081182
1.000000 0.082665
1.000000 0.084148
1.000000 0.085631
1.000000 0.087114
0.999999 0.088597
0.999999 0.090080
0.999999 0.091563
0.999999 0.093046
0.999998 0.094529
0.999998 0.096012
0.999998 0.097495
0.999997 0.098978
0.999996 0.100461
0.999995 0.101944
0.999995 0.103427
0.999993 0.104910
0.999992 0.106393
0.999991 0.107876
0.999989 0.109359
0.999987 0.110842
0.999984 0.112325
0.999982 0.113808
0.999979 0.115291
0.999975 0.116774
0.999971 0.118257
0.999967 0.119739
0.999962 0.121222
0.999956 0.122705
0.999950 0.124188
0.999943 0.125671
0.999936 0.127154
0.999927 0.128637
0.999918 0.130120
0.999907 0.131603
0.999896 0.133086
0.999883 0.134569
0.999870 0.136052
0.999855 0.137535
0.999838 0.139018
0.999821 0.140501
0.999802 0.141984
0.999781 0.143467
0.999758 0.144950
0.999734 0.146433
0.999708 0.147916
0.999679 0.149399
0.999649 0.150882
0.999617 0.152365
0.999582 0.153848
0.999544 0.155331
0.999505 0.156814
0.999462 0.158297
0.999417 0.159780
0.999369 0.161263
0.999318 0.162745
0.999264 0.164228
0.999206 0.165711
0.999146 0.167194
0.999081 0.168677
0.999013 0.170160
0.998942 0.171643
0.998866 0.173126
0.998786 0.174609
0.998703 0.176092
0.998615 0.177575
0.998522 0.179058
0.998425 0.180541
0.998323 0.182024
0.998217 0.183507
0.998105 0.184990
0.997988 0.186473
0.997866 0.187956
0.997739 0.189439
0.997606 0.190922
0.997467 0.192405
0.997322 0.193888
0.997172 0.195371
0.997015 0.196854
0.996852 0.198337
0.996682 0.199820
0.996506 0.201303
0.996323 0.202786
0.996133 0.204269
0.995936 0.205752
0.995732 0.207234
0.995520 0.208717
0.995301 0.210200
0.995074 0.211683
0.994839 0.213166
0.994596 0.214649
0.994345 0.216132
0.994086 0.217615
0.993818 0.219098
0.993541 0.220581
0.993256 0.222064
0.992961 0.223547
0.992658 0.225030
0.992345 0.226513
0.992022 0.227996
0.991690 0.229479
0.991348 0.230962
0.990996 0.232445
0.990634 0.233928
0.990261 0.235411
0.989878 0.236894
0.989484 0.238377
0.989079 0.239860
0.988663 0.241343
0.988236 0.242826
0.987797 0.244309
0.987347 0.245792
0.986885 0.247275
0.986411 0.248758
0.985924 0.250240
0.985426 0.251723
0.984914 0.253206
0.984390 0.254689
0.983853 0.256172
0.983303 0.257655
0.982739 0.259138
0.982162 0.260621
0.981571 0.262104
0.980966 0.263587
0.980346 0.265070
0.979713 0.266553
0.979064 0.268036
0.978401 0.269519
0.977722 0.271002
0.977028 0.272485
0.976319 0.273968
0.975594 0.275451
0.974852 0.276934
0.974095 0.278417
0.973320 0.279900
0.972529 0.281383
0.971721 0.282866
0.970896 0.284349
0.970053 0.285832
0.969192 0.287315
0.968313 0.288798
0.967415 0.290281
0.966499 0.291764
0.965563 0.293246
0.964609 0.294729
0.963634 0.296212
0.962640 0.297695
0.961625 0.299178
0.960590 0.300661
0.959534 0.302144
0.958456 0.303627
0.957357 0.305110
0.956236 0.306593
0.955092 0.308076
0.953926 0.309559
0.952736 0.311042
0.951523 0.312525
0.950286 0.314008
0.949024 0.315491
0.947737 0.316974
0.946426 0.318457
0.945088 0.319940
0.943724 0.321423
0.942333 0.322906
0.940915 0.324389
0.939470 0.325872
0.937996 0.327355
0.936493 0.328838
0.934960 0.330321
0.933398 0.331804
0.931805 0.333287
0.930180 0.334770
0.928524 0.336253
0.926834 0.337735
0.925112 0.339218
0.923355 0.340701
0.921563 0.342184
0.919736 0.343667
0.917872 0.345150
0.915971 0.346633
0.914031 0.348116
0.912052 0.349599
0.910033 0.351082
0.907973 0.352565
0.905870 0.354048
0.903724 0.355531
0.901533 0.357014
0.899296 0.358497
0.897013 0.359980
0.894680 0.361463
0.892298 0.362946
0.889864 0.364429
0.887378 0.365912
0.884836 0.367395
0.882239 0.368878
0.879582 0.370361
0.876866 0.371844
0.874087 0.373327
0.871244 0.374810
0.868333 0.376293
0.865353 0.377776
0.862301 0.379259
0.859173 0.380741
0.855967 0.382224
0.852680 0.383707
0.849307 0.385190
0.845846 0.386673
0.842291 0.388156
0.838638 0.389639
0.834882 0.391122
0.831018 0.392605
0.827040 0.394088
0.822941 0.395571
0.818714 0.397054
0.814351 0.398537
0.809843 0.400020
0.805180 0.401503
0.800352 0.402986
0.795345 0.404469
0.790144 0.405952
0.784735 0.407435
0.779096 0.408918
0.773206 0.410401
0.767039 0.411884
0.760563 0.413367
0.753740 0.414850
0.746524 0.416333
0.738855 0.417816
0.730659 0.419299
0.721836 0.420782
0.712251 0.422265
0.701711 0.423747
0.689921 0.425230
0.676392 0.426713
0.660189 0.428196
0.639007 0.429679
0.599542 0.431162
0.000000 0.432645
-0.000000 0.434128
0.000000 0.435611
0.000000 0.437094
-0.000000 0.438577
-0.000000 0.440060
-0.000000 0.441543
0.000000 0.443026
-0.000000 0.444509
0.000000 0.445992
-0.000000 0.447475
0.000000 0.448958
-0.000000 0.450441
-0.000000 0.451924
0.000000 0.453407
0.000000 0.454890
-0.000000 0.456373
0.000000 0.457856
0.000000 0.459339
0.000000 0.460822
-0.000000 0.462305
0.000000 0.463788
-0.000000 0.465271
0.000000 0.466754
-0.000000 0.468236
-0.000000 0.469719
-0.000000 0.471202
-0.000000 0.472685
0.000000 0.474168
-0.000000 0.475651
-0.000000 0.477134
0.000000 0.478617
-0.000000 0.480100
-0.000000 0.481583
0.000000 0.483066
-0.000000 0.484549
0.000000 0.486032
-0.000000 0.487515
-0.000000 0.488998
0.000000 0.490481
-0.000000 0.491964
-0.000000 0.493447
-0.000000 0.494930
0.000000 0.496413
-0.000000 0.497896
-0.000000 0.499379
-0.000000 0.500862
0.000000 0.502345
-0.000000 0.503828
-0.000000 0.505311
0.000000 0.506794
-0.000000 0.508277
-0.000000 0.509760
0.000000 0.511242
-0.000000 0.512725
0.000000 0.514208
-0.000000 0.515691
0.000000 0.517174
-0.000000 0.518657
-0.000000 0.520140
0.000000 0.521623
-0.000000 0.523106
0.000000 0.524589
-0.000000 0.526072
-0.000000 0.527555
-0.000000 0.529038
0.000000 0.530521
-0.000000 0.532004
-0.000000 0.533487
0.000000 0.534970
-0.000000 0.536453
0.000000 0.537936
-0.000000 0.539419
-0.000000 0.540902
0.000000 0.542385
-0.000000 0.543868
-0.000000 0.545351
0.000000 0.546834
-0.000000 0.548317
-0.000000 0.549800
-0.000000 0.551283
-0.000000 0.552766
0.000000 0.554248
-0.000000 0.555731
-0.000000 0.557214
0.000000 0.558697
-0.000000 0.560180
0.000000 0.561663
-0.000000 0.563146
0.000000 0.564629
-0.000000 0.566112
-0.000000 0.567595
-0.000000 0.569078
0.000000 0.570561
-0.000000 0.572044
-0.000000 0.573527
0.000000 0.575010
-0.000000 0.576493
0.000000 0.577976
-0.000000 0.579459
0.000000 0.580942
-0.000000 0.582425
-0.000000 0.583908
0.000000 0.585391
-0.000000 0.586874
0.000000 0.588357
-0.000000 0.589840
-0.000000 0.591323
0.000000 0.592806
-0.000000 0.594289
0.000000 0.595772
-0.000000 0.597255
-0.000000 0.598737
0.000000 0.600220
-0.000000 0.601703
-0.000000 0.603186
0.000000 0.604669
-0.000000 0.606152
-0.000000 0.607635
0.000000 0.609118
-0.000000 0.610601
-0.000000 0.612084
0.000000 0.613567
-0.000000 0.615050
0.000000 0.616533
-0.000000 0.618016
-0.000000 0.619499
0.000000 0.620982
-0.000000 0.622465
-0.000000 0.623948
-0.000000 0.625431
0.000000 0.626914
-0.000000 0.628397
-0.000000 0.629880
0.000000 0.631363
-0.000000 0.632846
0.000000 0.634329
-0.000000 0.635812
-0.000000 0.637295
0.000000 0.638778
-0.000000 0.640261
-0.000000 0.641743
-0.000000 0.643226
-0.000000 0.644709
-0.000000 0.646192
-0.000000 0.647675
-0.000000 0.649158
-0.000000 0.650641
-0.000000 0.652124
-0.000000 0.653607
-0.000000 0.655090
-0.000000 0.656573
0.000000 0.658056
-0.000000 0.659539
-0.000000 0.661022
0.000000 0.662505
-0.000000 0.663988
0.000000 0.665471
-0.000000 0.666954
-0.000000 0.668437
0.000000 0.669920
-0.000000 0.671403
0.000000 0.672886
-0.000000 0.674369
-0.000000 0.675852
0.000000 0.677335
-0.000000 0.678818
0.000000 0.680301
-0.000000 0.681784
0.000000 0.683267
-0.000000 0.684749
0.000000 0.686232
-0.000000 0.687715
0.000000 0.689198
-0.000000 0.690681
0.000000 0.692164
-0.000000 0.693647
0.000000 0.695130
-0.000000 0.696613
0.000000 0.698096
-0.000000 0.699579
0.000000 0.701062
-0.000000 0.702545
0.000000 0.704028
-0.000000 0.705511
0.000000 0.706994
-0.000000 0.708477
0.000000 0.709960
-0.000000 0.711443
0.000000 0.712926
-0.000000 0.714409
0.000000 0.715892
-0.000000 0.717375
0.000000 0.718858
-0.000000 0.720341
0.000000 0.721824
-0.000000 0.723307
0.000000 0.724790
-0.000000 0.726273
0.000000 0.727756
-0.000000 0.729238
0.000000 0.730721
-0.000000 0.732204
0.000000 0.733687
-0.000000 0.735170
0.000000 0.736653
-0.000000 0.738136
0.000000 0.739619
-0.000000 0.741102
0.000000 0.742585
-0.000000 0.744068
0.000000 0.745551
-0.000000 0.747034
0.000000 0.748517
-0.000000 0.750000
